Incidence Rate Report by State

"All Cancer Sites (All Stages^), 2015-2019"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

State, FIPS,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"US (SEER+NPCR)(1)",00000,449.4 ,449.1, 449.7,N/A , N/A , N/A,1728431,stable,-0.9 ,-2.0, 0.2
"Kentucky(7)",21000,516 ,513.2, 518.8,1 , 1 , 1,27998,falling,-0.9 ,-1.8, -0.1
"Iowa(7)",19000,490.7 ,487.5, 494,2 , 2 , 5,19110,rising,0.8 ,0.4, 1.2
"New Jersey(7)",34000,488.9 ,487, 490.8,3 , 2 , 5,53473,falling,-0.6 ,-0.7, -0.5
"West Virginia(6)",54000,487.4 ,483.3, 491.4,4 , 2 , 8,12216,falling,-0.2 ,-0.4, -0.1
"New York(7)",36000,484.8 ,483.6, 486.1,5 , 4 , 8,116044,falling,-0.6 ,-0.8, -0.4
"Louisiana(7)",22000,484.3 ,481.7, 487,6 , 3 , 9,26426,stable,0.5 ,-0.3, 1.3
"Arkansas(6)",05000,483.6 ,480.4, 486.9,7 , 3 , 9,17906,stable,0.4 ,-0.5, 1.4
"New Hampshire(6)",33000,482.9 ,478.2, 487.7,8 , 2 , 11,8695,falling,-0.7 ,-0.9, -0.6
"Pennsylvania(6)",42000,476.8 ,475.3, 478.3,9 , 9 , 13,80256,falling,-1.6 ,-3.2, -0.1
"Maine(6)",23000,476.7 ,472.2, 481.3,10 , 7 , 18,9189,stable,-0.2 ,-0.6, 0.1
"Rhode Island(6)",44000,476.2 ,470.8, 481.6,11 , 7 , 20,6407,falling,-0.8 ,-1.0, -0.6
"Mississippi(6)",28000,476 ,472.7, 479.3,12 , 8 , 16,16924,*,*,*,*
"Delaware(6)",10000,474.7 ,469.1, 480.3,13 , 7 , 21,6008,falling,-1.3 ,-1.6, -0.9
"Minnesota(6)",27000,471.5 ,469.2, 474,14 , 11 , 21,31253,stable,-0.2 ,-0.5, 0.0
"Ohio(6)",39000,471.5 ,469.8, 473.1,15 , 12 , 20,68972,stable,0.3 ,-0.2, 0.8
"Connecticut(7)",09000,471.4 ,468.5, 474.3,16 , 11 , 21,21622,stable,-0.5 ,-1.0, 0.0
"Wisconsin(6)",55000,470.8 ,468.5, 473.1,17 , 12 , 21,34173,falling,-0.2 ,-0.3, -0.1
"North Carolina(6)",37000,469.9 ,468.2, 471.7,18 , 13 , 21,58411,falling,-0.6 ,-0.7, -0.4
"Nebraska(6)",31000,469.7 ,465.6, 473.8,19 , 11 , 23,10457,stable,0.5 ,-0.7, 1.7
"Georgia(7)",13000,468.6 ,466.8, 470.4,20 , 15 , 22,53463,falling,-0.2 ,-0.3, -0.1
"Tennessee(6)",47000,466.5 ,464.4, 468.7,21 , 18 , 23,38326,falling,-0.5 ,-0.8, -0.3
"Montana(6)",30000,466.3 ,461, 471.7,22 , 13 , 26,6455,falling,-0.5 ,-0.7, -0.2
"Illinois(7)",17000,465.2 ,463.6, 466.8,23 , 20 , 24,70185,falling,-0.8 ,-1.1, -0.5
"Florida(6)",12000,460.5 ,459.4, 461.6,24 , 23 , 27,134730,falling,-1.9 ,-3.5, -0.3
"Kansas(6)",20000,459.4 ,456.1, 462.7,25 , 23 , 30,15621,falling,-0.6 ,-0.8, -0.4
"Vermont(6)",50000,457 ,450.3, 463.8,26 , 21 , 35,3903,falling,-0.8 ,-1.0, -0.5
"Indiana(6)",18000,456.8 ,454.6, 458.9,27 , 25 , 31,35999,falling,-3.2 ,-4.6, -1.7
"Massachusetts(7)",25000,454.8 ,452.7, 456.8,28 , 26 , 33,38547,stable,-2.0 ,-4.1, 0.1
"North Dakota(6)",38000,454.4 ,447.8, 461.1,29 , 23 , 36,3894,falling,-0.3 ,-0.5, -0.1
"Maryland(6)",24000,454.1 ,451.9, 456.4,30 , 26 , 34,32515,falling,-0.5 ,-0.7, -0.3
"Missouri(6)",29000,453.2 ,451, 455.4,31 , 27 , 34,34317,falling,-0.7 ,-0.9, -0.5
"South Dakota(6)",46000,452.3 ,446.4, 458.3,32 , 24 , 37,4749,falling,-0.5 ,-0.8, -0.2
"Alabama(6)",01000,451.7 ,449.3, 454.2,33 , 28 , 35,27407,falling,-0.7 ,-1.0, -0.3
"Oklahoma(6)",40000,450.8 ,448, 453.6,34 , 28 , 36,20705,stable,-0.2 ,-0.6, 0.2
"Idaho(7)",16000,448.5 ,444.2, 452.8,35 , 28 , 37,8879,stable,-0.6 ,-1.7, 0.6
"Michigan(6)",26000,446.7 ,445, 448.4,36 , 34 , 37,56208,falling,-1.1 ,-1.3, -0.9
"South Carolina(6)",45000,443.8 ,441.4, 446.2,37 , 35 , 38,28333,falling,-2.3 ,-3.4, -1.1
"Washington(1)",53000,441.3 ,439.2, 443.3,38 , 37 , 38,37988,falling,-1.0 ,-1.2, -0.9
"Oregon(6)",41000,428.4 ,425.8, 431,39 , 39 , 40,22327,falling,-0.9 ,-1.1, -0.7
"Alaska(6)",02900,417 ,410, 424.1,40 , 40 , 46,3022,falling,-1.4 ,-1.6, -1.2
"District of Columbia(6)",11001,416.9 ,410, 424,41 , 40 , 45,2855,stable,-0.5 ,-4.4, 3.6
"Hawaii(7)",15000,416.8 ,412.5, 421.2,42 , 40 , 44,7537,falling,-0.5 ,-0.8, -0.2
"Texas(7)",48000,415.3 ,414.3, 416.4,43 , 40 , 43,118438,stable,-0.1 ,-0.5, 0.4
"Virginia(6)",51000,409.4 ,407.6, 411.2,44 , 43 , 46,40801,falling,-0.9 ,-1.3, -0.6
"Utah(7)",49000,407.2 ,403.8, 410.6,45 , 43 , 47,11212,falling,-0.4 ,-0.5, -0.2
